;Insee;ncat;cluster;cluster2
0;01001;2;1;1
1;01002;2;3;2
2;01004;4;3;2
3;01005;2;1;2
4;01006;1;3;2
5;01007;5;3;2
6;01008;2;3;2
7;01009;1;3;2
8;01011;1;3;2
9;01014;3;3;2
10;01015;2;3;2
11;01016;5;1;1
12;01017;2;3;2
13;01021;3;3;2
14;01022;3;3;2
15;01023;6;1;1
16;01025;4;1;1
17;01026;1;1;1
18;01027;3;1;1
19;01028;2;3;2
20;01030;4;1;1
21;01031;1;3;2
22;01032;2;1;1
23;01033;5;3;2
24;01034;8;3;2
25;01036;4;3;2
26;01037;2;3;2
27;01038;2;3;2
28;01138;3;3;2
29;01041;2;3;2
30;01042;1;1;2
31;01043;5;1;1
32;01044;2;3;2
33;01046;4;1;1
34;01047;3;1;1
35;01049;5;1;1
36;01050;1;1;1
37;01052;2;1;1
38;01053;6;1;1
39;01056;3;3;2
40;01057;3;1;1
41;01058;3;1;1
42;01453;4;3;2
43;01060;2;3;2
44;01061;2;3;2
45;01063;3;3;2
46;01064;1;3;2
47;01066;2;3;2
48;01068;3;3;2
49;01071;1;3;2
50;01072;1;3;2
51;01073;1;3;2
52;01074;2;1;2
53;01075;5;1;1
54;01076;2;3;2
55;01077;1;3;2
56;01079;1;3;2
57;01080;2;3;2
58;01081;1;3;2
59;01082;1;3;2
60;01083;1;3;2
61;01084;1;1;1
62;01085;1;1;2
63;01087;1;3;2
64;01088;3;1;1
65;01089;2;1;1
66;01092;3;1;2
67;01093;5;3;1
68;01094;5;1;1
69;01095;1;3;2
70;01098;6;3;2
71;01099;3;1;1
72;01100;1;3;2
73;01101;1;3;2
74;01102;1;1;2
75;01104;1;3;2
76;01105;1;1;1
77;01107;1;3;2
78;01109;1;3;2
79;01110;1;3;2
80;01111;1;3;2
81;01112;1;3;2
82;01114;1;3;2
83;01116;1;3;2
84;01117;1;3;2
85;01118;2;3;2
86;01185;5;3;2
87;01123;4;1;1
88;01125;1;3;2
89;01127;2;3;2
90;01133;3;3;2
91;01134;5;1;1
92;01135;1;3;2
93;01136;1;1;1
94;01141;1;3;2
95;01142;4;1;1
96;01143;5;3;2
97;01148;3;3;2
98;01149;2;3;2
99;01150;1;3;2
100;01151;1;3;2
101;01152;2;3;2
102;01153;2;3;2
103;01155;1;3;2
104;01156;1;1;2
105;01157;12;1;1
106;01159;8;1;1
107;01160;4;3;2
108;01165;2;1;1
109;01166;6;1;1
110;01167;3;1;1
111;01169;5;1;1
112;01170;3;3;2
113;01171;1;3;2
114;01173;3;3;2
115;01174;1;3;2
116;01175;4;1;1
117;01179;7;1;1
118;01180;1;3;2
119;01181;1;3;2
120;01338;3;3;2
121;01183;8;1;1
122;01187;2;3;2
123;01188;1;1;1
124;01189;1;3;2
125;01190;1;3;2
126;01192;2;3;2
127;01193;1;3;2
128;01194;7;1;1
129;01195;1;3;2
130;01196;2;3;2
131;01199;5;3;2
132;01200;1;3;2
133;01202;7;3;2
134;01203;2;1;1
135;01204;5;3;2
136;01208;1;3;2
137;01209;1;3;2
138;01210;1;3;2
139;01212;2;1;2
140;01213;2;1;1
141;01216;2;3;2
142;01219;1;3;2
143;01224;3;1;1
144;01225;5;1;1
145;01228;4;3;2
146;01231;5;1;1
147;01234;1;3;2
148;01235;2;3;2
149;01237;2;3;2
150;01238;10;1;1
151;01239;1;3;2
152;01241;1;3;2
153;01242;2;3;2
154;01243;8;1;1
155;01244;6;1;1
156;01245;1;3;2
157;01246;4;1;1
158;01247;1;3;2
159;01248;1;1;2
160;01249;9;1;1
161;01250;3;1;1
162;01252;2;1;1
163;01254;2;1;2
164;01255;4;3;2
165;01257;1;3;2
166;01258;3;1;1
167;01259;1;1;2
168;01262;7;1;1
169;01263;5;1;1
170;01264;1;1;2
171;01265;3;3;2
172;01267;3;3;2
173;01268;1;3;2
174;01269;4;3;2
175;01286;4;3;2
176;01272;4;1;1
177;01273;1;3;2
178;01274;1;3;2
179;01275;4;1;1
180;01276;5;1;1
181;01279;1;3;2
182;01280;1;3;2
183;01282;1;3;2
184;01283;4;3;2
185;01284;3;1;1
186;01285;8;1;1
187;01288;3;3;2
188;01289;3;1;1
189;01290;2;1;1
190;01291;2;1;1
191;01294;2;3;2
192;01295;3;1;1
193;01298;1;3;2
194;01299;1;3;2
195;01301;1;1;1
196;01303;3;3;2
197;01304;4;3;2
198;01305;14;1;1
199;01306;3;1;1
200;01307;2;3;2
201;01310;1;3;2
202;01311;1;3;2
203;01426;4;3;2
204;01313;2;3;2
205;01314;5;1;1
206;01318;3;3;2
207;01319;2;3;2
208;01320;6;1;1
209;01322;6;1;1
210;01323;5;1;1
211;01325;1;3;2
212;01329;1;3;2
213;01330;1;3;2
214;01331;1;3;2
215;01332;1;1;1
216;01333;1;1;2
217;01334;3;3;1
218;01336;2;3;2
219;01337;8;1;1
220;01339;6;1;1
221;01343;2;1;1
222;01344;2;1;1
223;01345;2;3;2
224;01347;6;1;1
225;01348;10;1;1
226;01350;3;3;2
227;01351;5;3;1
228;01352;3;1;1
229;01353;4;1;1
230;01354;2;3;2
231;01355;1;1;1
232;01357;1;3;2
233;01358;2;3;2
234;01360;1;3;2
235;01361;1;1;1
236;01362;1;3;2
237;01363;6;3;2
238;01364;3;1;1
239;01365;2;1;1
240;01366;3;1;1
241;01367;1;3;2
242;01368;1;1;1
243;01370;6;1;1
244;01372;1;3;2
245;01373;2;3;2
246;01374;3;3;2
247;01376;7;1;1
248;01378;3;1;1
249;01379;4;3;1
250;01380;2;1;1
251;01381;1;3;2
252;01382;2;1;1
253;01384;4;3;2
254;01385;1;1;1
255;01386;4;3;2
256;01389;5;1;1
257;01390;2;1;1
258;01391;1;3;2
259;01396;3;3;2
260;01398;4;3;2
261;01399;5;3;2
262;01400;1;3;2
263;01401;1;3;2
264;01402;5;1;1
265;01403;2;3;2
266;01407;2;3;2
267;01411;3;3;2
268;01412;2;1;1
269;01415;1;3;2
270;01416;2;3;2
271;01418;4;1;1
272;01419;1;3;2
273;01420;6;1;1
274;01421;3;3;2
275;01422;2;3;2
276;01423;1;3;2
277;01424;1;1;1
278;01425;1;3;2
279;01427;6;1;1
280;01428;2;1;1
281;01430;3;3;2
282;01431;2;3;2
283;01432;2;3;2
284;01434;2;3;2
285;01435;1;3;2
286;01436;3;3;2
287;01437;1;1;1
288;01439;3;1;1
289;01441;1;3;2
290;01443;3;1;1
291;01444;1;3;2
292;01445;3;3;2
293;01446;2;1;1
294;01447;1;3;2
295;01448;1;3;2
296;01449;3;3;2
297;01450;6;1;1
298;01451;2;1;1
299;01452;2;3;2
300;01454;1;3;2
301;01457;5;1;1
302;02001;5;1;1
303;02002;5;1;1
304;02003;8;1;1
305;02004;3;0;0
306;02005;3;0;0
307;02006;3;1;1
308;02007;6;0;0
309;02008;1;1;1
310;02009;4;1;1
311;02010;2;1;1
312;02011;5;1;1
313;02012;3;1;1
314;02013;1;0;0
315;02014;3;1;1
316;02015;3;1;1
317;02016;2;1;1
318;02017;6;1;1
319;02018;6;1;1
